title,author,average_rating,rating_number,description,images,categories,parent_asin
"The English Monster: or, The Melancholy Transactions of William Ablass","{'avatar': 'https://m.media-amazon.com/images/I/71LmzexYaeL._SY600_.jpg', 'name': 'Lloyd Shepherd', 'about': [""This seems a bit weird, doesn't it? I mean, you don't expect to find authors following you around real-world book shops. Though perhaps it'd be nice to bump into David Mitchell or Stephen King as you're browsing."", ""I'll keep this short, and do tell me to go away if it's getting a bit weird."", ""My name's Lloyd. I live in South London. I've got two children and a lovely wife (she's the chief executive of a literacy charity). I've written four books. I hope to write a good few more."", ""My first three books - The English Monster, The Poisoned Island, Savage Magic, and The Detective and the Devil - are set in London in the early 19th century. They feature a detective who's never heard the word detective - a constable called Charles Horton - and his boss, magistrate John Harriott. Horton and Harriott are from the River Police Office in Wapping, London's second police office after Bow Street. The crimes they investigate are not quite what they seem to be."", ""If you're interested, I enjoy reading literary fiction and stuff at the more speculative end of the spectrum - horror, fantasy and science fiction. My favourite book is The Portrait of a Lady. My favourite author - possibly by virtue of how many of his books I've read - is Stephen King. The best novels I've read recently were The Country of Ice Cream Star by Sandra Newman and Gillespie and I by Jane Harris."", ""I blog at www.lloydshepherd.com, I've got a Facebook page (Lloyd Shepherd: Author) and a pretty active Twitter account (@lloydshep). Do come and say hello. We can talk, then, without me feeling that I'm intruding."", 'Happy shopping!']}",4.0,177,"['Review', '""Intelligently explores the tendency of man to be invigorated, even transported by death… The', 'English Monster', 'is an original, imaginative investigation into some of the most disturbing episodes of the nation’s history.""', '--', 'Times Literary Supplement', '“A brilliantly imagined historical crime novel"" --', 'The Sun', '(UK)', '""A story as rich in ideas as it is in intrigue…If all this sounds ambitious to the point of audacious for a debut novel, then suffice to say that Shepherd pulls it off… The English Monster becomes as vivid an education as it is an entertainment. None of which is to mention that devilish twist in this tale.""', '--', 'Independent on Sunday', '(UK) ""Masterful storytelling... If you like your historical fiction with a mighty twist, want to know more about London in the early 19th Century, or simply enjoy pacey but thoughtful fiction, the English Monster is up there with the best.""', '-- The Londonist', '""A feat of perfectly maintained tone and tension... A sinister, fine-grained novel."" --', 'Booklist', '(Starred Review)', '“The English Monster', 'is a riveting police procedural, a thrilling tale of life at sea, and an evocative piece of historical re-creation—all with an intriguing element of the fantastic that makes it irresistible. This is a novel that surprised and astounded me time and again.”  –Felix Palma, New York Times bestselling author of', 'The Map of Time  ""A book of remarkable scope and imagination.""  -- Essie Fox, author of', 'The Somnambulist', '""An unusual, vivid and well-written story."" --', 'The Free-Lance Star', 'Excerpt. © Reprinted by permission. All rights reserved.', 'The English Monster', '21', 'JUNE', '1585', 'The ancient road began at the Tower and ran east to west along a terrace of gravel. To the east it disappeared into the flat treeless horizon of the estuary, merging into the earth just as the earth merged into the sea at the muddy edge of England. As it left London, this road, which in only a few years would become a highway, formed the northern boundary of a dreary region of swampy land. The great river, as it bent south then north again, formed the southern edge of this semicircle of marshland. It had been drained and flooded, drained and flooded half a dozen times in the previous fifty years, while England burned Protestants then Catholics and then Protestants again. This place could not seem to decide if it was of the river or of the earth. The ancient name for the misbegotten half-land was Wapping. No one could remember where the name came from. In recent years small wharves and little clusters of houses had appeared along the riverbank at Wapping. The rich men who funded the buildings decided that houses and wharves would do a better job of keeping out the river than the sea walls they’d been building for decades in their vain attempts to reclaim the land from the waters. And, more to the point, a wharf generated more profit than a wall. During the days men made themselves busy around the dozens of boats that moored up along the wharves, the vessels settling down into the riverbed when the tide went out and rising again as it flooded back in, washing up against the wood-and-brick pilings. The pickings were not rich. London’s most lucrative trade still headed further upstream toward the wharves that operated within the city walls, but a new gray economy was emerging here downstream at Wapping. Beyond this sliver of moneymaking and building, back behind the wharves, between the river and the road, were the marshes. The occasional flood still occurred, sweeping away families and livelihoods as well as the property of the men of business. This dank, oozing landscape, unpromising and undeveloped, was the result of the river’s inundations. The ground was low, lower than sea level in some places, rising up to the bluff along which the road ran to the north. A man could stand there in the marshes, his feet sinking into the mud, and look to the backs of the wharves and warehouses along the river and imagine that they were floating on water. There was a gap in the riverside development, and in this gap stood a group of gallows. The gallows lived on borrowed time—already there were complaints that this place of execution was dragging down the land value of investments. Could it not be moved downstream a bit, perhaps to Ratcliffe, somewhere benighted and undeveloped where men of business were not trying to attract custom? But for now the gallows still stood. On this midsummer’s eve there were six river pirates hanging there. The gallows were right at the water’s edge, set in among the wharves. The six unfortunates hanging from the ropes had been caught after leaping aboard a barge in the river. It had been their sixth attack in four weeks and it was to be their last. The local lightermen and watermen had banded together to bait a trap for them, putting out stories that a barge with wool intended for France and Spain would be traveling downstream that day. When the pirates had clambered onboard, a group of twenty river men hidden beneath sails had emerged and captured them, but sadly not before the pirates, or at least, reported most of the ambushers, the apparent captain of the pirates, whose knife had flashed more quickly and more viciously than those of his crew, had sent three of the Wapping lightermen into the embrace of the old river, their throats slashed and their eyes empty. Eventually the men overcame the pirates and after some cursory discussions with what passed for the authorities in this new outpost they decided upon a customary punishment. The pirates were hanged at Execution Dock, where they would be left for three tides as a signal to others (and perhaps an offering to the river) before being cut down and disposed of. The river was already rising for the first of these three tides when the leader of the pirates heard a clatter of hoofs on the mixture of mud and stones that constituted the main street here in Wapping, running along the curve of the river behind the wharves. A mighty carriage, it sounded like. The clatter stopped, and he heard the sound of a carriage door slamming. A few minutes later, some squelching footsteps as a man approached. The pirate kept his eyes prudently closed as the footsteps stopped, perhaps directly in front of him. Within two hours, the river would be up to the chins of the men on the gallows, before falling back again. Carefully, the pirate opened one eye halfway. He saw the swaying feet of his dead shipmates on either side of him, and opened the eye a little further. His visitor was standing on the foreshore, dressed in the Dutch style, all somber black and white, the clothes effortlessly wealthier than the new gay and gaudy fashions that were rippling out from the English Queen’s court. The visitor cleared his throat and spat. The pirate heard a small splash in the water, and his careful eyes caught the sun as it glittered on a thick lump of green phlegm which appeared and spun around in the water as it commenced its journey down to Tilbury. The visitor glanced up and behind at the gallows, and the pirate closed his eyes quickly. He resolved to keep his eyes that way as the visitor started to speak, in rich aristocratic tones with just the hint of a clammy Dutch accent. “Quite a view they’ve given you. Desirable waterfront property, I’d say.” The pirate said nothing, obviously. The creaking of the gallows was the only sound as he and his men swung gently in the soft summer breeze. Miles and miles upstream, it was a beautiful evening among the willow trees and reeds at Runny\xadmede and Richmond, where the aristocrats played at court and love and wrote poetry to each other. The sun was setting in the opulent west. But here, to the east of the metropolis, the dominant colors were grays and browns. Mud and water, not trees and flowers. The thought seemed to make the visitor positively cheerful. He put his hands behind his back and actually rose up on his toes at the vista before him. “Someday all this will be very desirable property, captain. When my father built his wall here, he had a vision of a new suburb, with the river kept out and the land turned into meadows and orchards. He wanted this to be the prettiest part of London. And all within sight of that dreadful Tower.” It occurred to the pirate to wonder why the Dutchman was speaking when, as far as the man knew, there was no one there alive to listen to him. The visitor spoke again, and even with his eyes closed the pirate captain had the impression that the Dutchman had turned his back on the river and was facing him. Almost as if he were speaking to him. Perhaps he was practicing an address. “You’ll be the last, captain. The last crew to be hanged on this so-called Execution Dock. It’s keeping the developers away, this grisly habit, and this land is valuable. A hundred years, maybe two hundred, this’ll be the busiest port in the world. Trade is coming, captain. Trade. Not petty thievery or the ridiculous swapping of bits of unmade cloth for bits of food ’n’ drink. The world’s wealth is out there waiting to be bought and sold, and unlike most of my countrymen I predict that the buying and selling will happen here, in London, not in Antwerp or Rotterdam. Wapping’s going to flourish. It’s going to become the hub on which the world turns. You’ll go down in history, captain. The last pirate to be hanged at Wapping. My congratulations.” Another movement, and then the sound of the visitor walking back to his carriage. The slamming door, the “hai!” of the coachman, and the snap of hoofs and wheels on the road back into London. And then only the sound of the creaking gallows again. The tide rose, and later it fell. It rose and it fell three times. When the locals came to cut them down, they were disconcerted to find only five pirates hanging from the gallows. The sixth—the captain—had gone. BOOK', '1', 'Drake As I was a-walking down Ratcliffe Highway A flash-looking packet I chanced for to see I hailed her in English, she answered me clear I’m from the Blue Anchor bound for the Black Bear \xa0 Sing too relye addie, sing too relye ay. She had up her colours, her masthead was low She was round in the counter and bluff in the bow She was blowing along with the wind blowing free \xa0 She clewed up her courses and waited for me I tipped up my flipper, I took her in tow And yardarm to yardarm away we did go She lowered her topsail, t’gansail and all \xa0 Her lily-white hand on my reef-tackle fall I said, “My fair maiden, it’s time to give o’er For twixt wind and water you’ve run me ashore My shot locker’s empty, my powder’s all spent \xa0 I can’t fire a shot for it’s choked round the vent” Here’s luck to the girl with the black curly locks Here’s luck to the girl who run Jack on the rocks Here’s luck to the doctor who eased all his pain He’s squared his mainyards, he’s a-cruising again.', '(TRADITIONAL, NINETEENTH CENTURY)', '--This text refers to an alternate', 'kindle_edition', 'edition.', 'Review', '""Intelligently explores the tendency of man to be invigorated, even transported by death… The', 'English Monster', 'is an original, imaginative investigation into some of the most disturbing episodes of the nation’s history.""', '--', 'Times Literary Supplement', '“A brilliantly imagined historical crime novel""', '--', 'The Sun', '(UK)', '""A story as rich in ideas as it is in intrigue…If all this sounds ambitious to the point of audacious for a debut novel, then suffice to say that Shepherd pulls it off… The English Monster becomes as vivid an education as it is an entertainment. None of which is to mention that devilish twist in this tale.""', '--', 'Independent on Sunday', '(UK)', '“The English Monster', 'is a riveting police procedural, a thrilling tale of life at sea, and an evocative piece of historical re-creation—all with an intriguing element of the fantastic that makes it irresistible. This is a novel that surprised and astounded me time and again.”', '–Felix Palma, New York Times bestselling author of', 'The Map of Time', '""A book of remarkable scope and imagination.""', '-- Essie Fox, author of', 'The Somnambulist', '--This text refers to an alternate', 'kindle_edition', 'edition.', 'About the Author', 'Lloyd Shepherd is a former journalist and digital producer who has worked for the Guardian, Channel 4, the BBC and Yahoo. He lives in South London with his family. He is the author of The English Monster and The Poisoned Island.', '--This text refers to an alternate', 'kindle_edition', 'edition.', 'Read more']","[{'large': 'https://m.media-amazon.com/images/I/51JlBHsl0ML.jpg', 'variant': 'MAIN'}]","['Mystery, Thriller & Suspense', 'Thrillers & Suspense']",B005GG0N1E
The Very Hungry Caterpillar (English and Arabic Edition),"{'avatar': 'https://m.media-amazon.com/images/I/61C74pVGyOL._SY600_.jpg', 'name': 'Eric Carle', 'about': ['Eric Carle is acclaimed and beloved as the creator of brilliantly illustrated and innovatively designed picture books for very young children. His best-known work, The Very Hungry Caterpillar, has eaten its way into the hearts of literally millions of children all over the world and has been translated into more than 62 languages and sold over 41 million copies. Since the Caterpillar was published in 1969, Eric Carle has illustrated more than 70 books, many best sellers, most of which he also wrote.', 'Carle says: ""With many of my books I attempt to bridge the gap between the home and school. To me home represents, or should represent; warmth, security, toys, holding hands, being held. School is a strange and new place for a child. Will it be a happy place? There are new people, a teacher, classmates - will they be friendly? I believe the passage from home to school is the second biggest trauma of childhood; the first is, of course, being born. Indeed, in both cases we leave a place of warmth and protection for one that is unknown. The unknown often brings fear with it. In my books I try to counteract this fear, to replace it with a positive message. I believe that children are naturally creative and eager to learn. I want to show them that learning is really both fascinating and fun.""', 'Eric Carle has two grown-up children, a son and a daughter. He divides his time between the Florida Keys and the hills of North Carolina.', 'For more information about Eric Carle and his books please visit:', 'The Official Eric Carle web site: http://www.eric-carle.com', ""Eric Carle's Blog: http://www.ericcarleblog.blogspot.com"", 'The Eric Carle Museum of Picture Book Art: http://www.carlemuseum.org', 'The World of Eric Carle Amazon UK page: https://www.amazon.co.uk/l/1658013031']}",4.6,294,[],"[{'large': 'https://m.media-amazon.com/images/I/41LCW+nsJ6S._SY340_BO1,204,203,200_.jpg', 'variant': 'MAIN'}]","[""Children's Books""]",1852691247
More Together: 25 Years of Peer Practice at On Our Own Charlottesville,,5.0,1,"['About the Author', ""Alice Anderson is the current President of the Board of Directors of On Our Own of Charlottesville. She brings experience to this work as a past Executive Director of Mental Health America Charlottesville-Albemarle and as a Presbyterian minister involved for over twenty years in mental health and homeless ministries. In that work, she served on dozens of nonprofit boards and developed skills in organization development and group facilitation. She holds a Master of Divinity specializing in social change and urban ministry. She also holds a Master of Arts in Teaching and has developed and delivered curriculum in numerous adult education settings. Dr. Georgeann Wilcoxson has worked in human and organization development over 40 years in inter- national, federal, state, and local governments as well\u2028 as nonprofits, corporations and small business. With a Ph.D. in Humanistic Education and Management, she developed innovative methodologies for applying family systems theory in large-scale organizations and was a pioneer in adult experiential learning. As a long time consumer of mental health services, she counts on her active membership in On Our Own to enrich her life in recovery and continuous growth. Between them, Anderson and Wilcoxson have\u2028 served as board president, secretary, treasurer, consultant\u2028and Acting Executive Director of On Our Own Charlottesville. They have designed and led groups, facilitated strategic and operational planning, solved plumbing\u2028 emergencies, taken people to the hospital, helped invent new programs, represented OOO with community partners, overseen and made building repairs and written grant proposals and many reports. It has been a great privilege and pleasure for them in the writing of this book to be given the opportunity to expand, deepen, and consolidate the lessons learned by the community of On Our Own and its many dedicated partners. Should you wish to reach them, they can be found at: Anderson Wilcoxson Associates. Providing organization design and development with a systems approach, helping people develop agreement about what they want to do and what everyone needs to do to make it happen. We've worked at local, state, national and international levels at nonprofit, for profit, and governmental organizations, large and small, for over 40 years. 407 Key West Drive, Charlottesville, VA 22911 (434) 295-6029 aliceva1@aol.com, gwilcoxs1@aol.com""]","[{'large': 'https://m.media-amazon.com/images/I/61MKCqzu9rL._SX404_BO1,204,203,200_.jpg', 'variant': 'MAIN'}]",[],1530178770
Never Sniff a Gift Fish,"{'avatar': 'https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png', 'name': 'Patrick J. McManus', 'about': ['Discover more of the author’s books, see similar authors, read author blogs and more']}",4.8,413,[],"[{'large': 'https://m.media-amazon.com/images/I/51d+y3WBQgL._SX340_BO1,204,203,200_.jpg', 'variant': 'MAIN'}]",[],0805005277
"Markov Chain Monte Carlo: Stochastic Simulation for Bayesian Inference, Second Edition (Chapman & Hall/CRC Texts in Statistical Science)","{'avatar': 'https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png', 'name': 'Dani Gamerman', 'about': ['Discover more of the author’s books, see similar authors, read author blogs and more']}",4.4,19,"['Review', '""The new edition of the book, with its updated and additional materials, is still a great choice as at textbook for Bayesian computation and inference courses in a graduate program in computational and applied statistics. It will also be considered as one of the best textbooks for a Bayesian computational course to nonstatisticians, including social scientists and engineers.""', '– Debajyoti Sinha, Florida State University, in', 'JASA', ', March 2009', '“The second edition of this book is well written and builds on the first edition … The addition of an associated website is a valuable resource that contains many R scripts, allowing readers to quickly and easily test different approaches on their desired models with minimal effort. Coupling this with the depth of examples and references provided, this text provides an excellent first graduate text on MCMC methods. … The book is certainly another fine addition on the literature on MCMC and should be used by anyone interested in gaining a solid foundation in MCMC methods and algorithms. …” ―Gareth Peters (University of New South Wales),', 'Statistics in Medicine', ', 2008 “… one of the most comprehensive and readable texts on stochastic simulation using the technique of Markov chain Monte Carlo. … this second edition has been extensively updated to include the recent literature. New sections on spatial modeling and model adequacy have now been included, together with more illustrative material. Many of the computer codes written in R and WinBUGS … are available for download from the web. This enhances the utility of the book, both as a reference for researchers and a text on modern Bayesian computation and Bayesian inference courses for students.” ―C.M. O’Brien (CEFAS Lowestoft Laboratory, UK),', 'ISI Short Book Reviews', '“…The book may be quite useful as a first book on MCMC. … The treatment is nontechnical, easily read, and may be a good starting point for a statistician with little or no prior knowledge of MCMC. There is also nonstandard material. I found the material on dynamical models (including non-Gaussian ones) particularly interesting. …” ―Søren Feodor Nielsen (University of Copenhagen),', 'Journal of Applied Statistics', ', Vol. 34, No. 7, December 2007 “…The book does have an impressive set of exercises … it would be appropriate for a course that wants to focus on using MCMC to solve applied Bayesian inference problems.” ―Galin L. Jones,', 'Mathematical Reviews', ', 2007j Praise for the First Edition:  “…a must for every research library, and should be given serious consideration for use as a graduate text.” ―', 'ISI Short Book Reviews', '“…nicely focused, elementary-level coverage…makes this book a suitable choice for an introductory course.” ―', 'Journal of the ASA', ', March 2000']","[{'large': 'https://m.media-amazon.com/images/I/41wmzCw+buL._SX360_BO1,204,203,200_.jpg', 'variant': 'MAIN'}]",['Science & Math'],1584885874
Therapy Mammals,"{'avatar': 'https://m.media-amazon.com/images/I/616DZHsJxTL._SY600_.jpg', 'name': 'Jon Methven', 'about': [""I am a novelist and essayist from New York City. My work has appeared in Timothy McSweeney's Internet Tendency, The New York Times, The Atlantic, New York Magazine, Buzzfeed, The Morning News, n+1 and The Awl. My first novel, THIS IS YOUR CAPTAIN SPEAKING, was published by Simon & Schuster in June 2012. A second novel, STRANGE BOAT, published by Rare Bird Books in April 2016.""]}",4.2,24,"['Review', '""What a miraculous sight: Jon Methven is a serious novelist with an irreverent, satirical sense of humor, which is the only sense of humor worth having. In', 'Therapy Mammals', ', his comedic register asserts itself in tandem with a sly earnestness, a skewed sincerity that operates at the edge of irony. In these pages, as in life, the only people who have any idea what\'s going on are those who can identify and accept the absurd. Here is a novel that will force you to see our warped kind anew.""―', 'William Giraldi', ', author of', ""Hold the Dark and The Hero's Body"", '""A very funny and extremely timely novel that navigates the complexities of moral living.” ―', 'Katherine Heiny', ', author of', 'Standard Deviation', '""A wickedly smart and savage social satire about this current bananas moment in human evolution and American devolution. As funny as it is terrifying.""―', 'Stephen McCauley', ', author of', 'My Ex-Life', 'Praise for', 'This is Your Captain Speaking', '“I’m not sure how it happened, but Thomas Pynchon and Donald Barthelme bumped into one another while toting their samples into a sperm bank. Jon Methven is the result.', 'This Is Your Captain Speaking', 'proves that Methven has his finger on the pulse of the absurd, the topical, the real. Here’s a novel that soars and soars. And swaggers relentlessly.”―', 'George Singleton', ', author of', 'Stray Decorum', '""A playful and witty send-up of our media-mad culture. Methven is a comic writer to watch.""―', 'Jonathan Evison', ', author of', 'West of Here', '“The cheeky send-up is aggressively experimental, but Methven manages to tell an engaging story amid the antic high jinks. B+”―', 'Entertainment Weekly', '“Targeting celebrity-obsession, the always-on news cycle and corporate America, Methven raises both questions and laughs.”―', 'New York Post', ""“Relentlessly inventive. . . . Beneath the snappy dialogue and quirky plot twists, Methven is posing a profound question: What happens when a country can no longer live up to its own mythos? . . . Methven keeps the plot humming, all the way to the sticky end. He's an exciting new voice.”―"", 'Steve Almond', ',', 'The Boston Globe', '“You know who really had a satire coming? Sully Sullenberger. The heroic pilot who avoided crashing a damaged US Airways passenger plane by belly-flopping it onto the Hudson River became the first celebrity airman since Capt. John Yossarian. . . . A similar ‘Miracle on the Hudson’ event kick-starts Methven’s very funny, slightly batshit debut novel. . . . Methven’s energy and clear enthusiasm for the ridiculousness of his book translates to the read.”―', 'Time Out Chicago', '“Do we take this seriously? We think not. We are big fans, though, of such inspired silliness.”―', 'Asbury Park Press', '(NJ)“Jon Methven’s fiction debut is so inventive, assured and hilarious that it instantly establishes him as a major satirist for these times. . . . Entertaining subplots abound. Zinging up and down the ladder of comedy in pitch-perfect prose, This Is Your Captain Speaking is a shrewd response to an America besotted with image, celebrities and reality shows.”―', 'Bucknell Magazine', '“A Pynchonesque, offbeat parody of American media coverage and celebrity. . . . a smart, fast-paced farce in which Methven ably satirizes America’s signature take on reality and culture of greed.”―', 'Booklist', '“What if the ‘Miracle on the Hudson’ were completely faked by an unscrupulous airline company in order to boost prices? And what if we got a guy to write the whole thing up just like Carl Hiaasen? . . . Don’t miss Methven’s psychotic, if interactive, reading group guide at the end.”―', 'Kirkus Reviews', '“[A] buoyant debut . . . Fans of McSweeney’s Internet Tendency will relish this frequent contributor’s snappy farce about publicity, celebrity culture, and a ne’er-do-well’s attempt to save some crippled orphans by way of one Beatle’s frozen swimmers.”―', 'Publishers Weekly', '“Every so often a first novel comes along that blows your hair back with its ingenuity, that jumpstarts your faith in imaginative literature, and Jon Methven has written one of those novels.', 'This Is Your Captain Speaking', 'is an astonishing debut, a comedic masterwork worthy of the great Joe Orton and Stanley Elkin. Outrageous and gorgeously absurd, it shows us, with fearless accuracy, what a twisted tribe we have become.”―', 'William Giraldi', ', author of', 'Busy Monsters', 'About the Author', 'Jon Methven is the author of three novels:', 'Therapy Mammals', ',', 'Strange Boat', ', and', 'This Is Your Captain Speaking', '. His work has appeared in Timothy McSweeney’s Internet Tendency, the', 'New York Times', ',', 'New York Magazine', ',', 'Buzzfeed', ',', 'The Atlantic', ', and', 'The Awl', '. He lives in New York City.']","[{'large': 'https://m.media-amazon.com/images/I/41quRCEOHmL._SX323_BO1,204,203,200_.jpg', 'variant': 'MAIN'}]","['Literature & Fiction', 'Genre Fiction']",194557299X
A Most Dangerous Book: Tacitus's Germania from the Roman Empire to the Third Reich,"{'avatar': 'https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png', 'name': 'Christopher B. Krebs', 'about': ['Christopher B Krebs teaches Classics at Stanford University. He is the author of ""A Most Dangerous Book. Tacitus\' Germania from the Roman Empire to the Third Reich"" as well as ""The Cambridge Companion to the Writings of Julius Caesar"" and two further books.']}",4.2,110,"['From Publishers Weekly', ""Harvard classics professor Krebs writes a scholarly but lucid account of the abuse of history. Written in 98 C.E. by the Roman official Tacitus, About the Origin and Mores of the Germanic Peoples was lost for centuries but resurfaced around 1500 as Germans were growing resentful of foreign domination—in this case from the Catholic Church in Rome. The rediscovered book launched a primitivist myth that captivated admirers over the next 500 years, from Martin Luther to Heinrich Himmler, who loved its portrayal of ancient Germans as freedom-loving warriors, uncultured but honorable, in contrast to decadent Romans. In fact, Tacitus probably never visited Germany, Krebs notes. Rather, using books and travelers' reports, he wrote for a Roman audience who shared his romantic view of northern barbarians. Enthusiastic German readers, culminating in the Nazis, ignored Tacitus's disparaging comments, misread passages to confirm their prejudices, and proclaimed that the ancient historian confirmed their national superiority. This is an inventive analysis of, and warning against, an irresistible human yearning to find written proof of one's ideology. Illus. (May) (c) Copyright PWxyz, LLC. All rights reserved."", 'Review', '“A fascinating story of how a book could be used and―especially―abused over two thousand years, as enemies saw it as presenting Germans as brutish and barbarian, while German nationalistic pride extracted a quite different message of a nation that was simple, virtuous, and pure.... beautifully told by Christopher Krebs.” -', 'Christopher Pelling, editor of', 'Greek Tragedy and the Historian', '“A most exciting book! In Krebs’ hands, the story of the', 'Germania', 'manuscript becomes part thriller, part detective story.... A must-read for anyone interested in the pernicious power of the ideas of antiquity―and a timely reminder of the responsibilities placed on readers as well as writers.” -', 'Tim Rood, University of Oxford, author of', 'American Anabasis', 'About the Author', 'Christopher B. Krebs', ', a classics professor at Stanford University, has published widely on the Roman historians and their afterlives.', 'Read more']","[{'large': 'https://m.media-amazon.com/images/I/41bnYeddqPL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg', 'variant': 'MAIN'}]",['Literature & Fiction'],0393062651
The Prophet: With Original 1923 Illustrations by the Author,"{'avatar': 'https://m.media-amazon.com/images/S/amzn-author-media-prod/b61g45vrb7u1g1rbso6rd26qpd._SY600_.jpg', 'name': 'Kahlil Gibran', 'about': ['Khalil Gibran (/dʒɪˈbrɑːn/; Full Arabic name Gibran Khalil Gibran, sometimes spelled Kahlil;[a] Arabic: جبران خليل جبران\u200e / ALA-LC: Jubrān Khalīl Jubrān or Jibrān Khalīl Jibrān) (January 6, 1883 – April 10, 1931) was a Lebanese-American artist, poet, and writer of the New York Pen League.', 'Khalil Gibran was born in the town of Bsharri in the Mount Lebanon Mutasarrifate, Ottoman Empire (north of modern-day Lebanon), to Khalil Gibran and Kamila Gibran(Rahmeh). As a young man Khalil emigrated with his family to the United States, where he studied art and began his literary career, writing in both English and Arabic. In the Arab world, Gibran is regarded as a literary and political rebel. His romantic style was at the heart of a renaissance in modern Arabic literature, especially prose poetry, breaking away from the classical school. In Lebanon, he is still celebrated as a literary hero.', 'He is chiefly known in the English-speaking world for his 1923 book The Prophet, an early example of inspirational fiction including a series of philosophical essays written in poetic English prose. The book sold well despite a cool critical reception, gaining popularity in the 1930s and again especially in the 1960s counterculture. Gibran is the third best-selling poet of all time, behind Shakespeare and Laozi.', 'Bio from Wikipedia, the free encyclopedia. Photo by unknown [Public domain], via Wikimedia Commons.']}",4.6,1367,[],"[{'large': 'https://m.media-amazon.com/images/I/41OD1btm2EL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg', 'variant': 'MAIN'}]",['Literature & Fiction'],1947844938
The Melancholy Strumpet Master,"{'avatar': 'https://m.media-amazon.com/images/S/amzn-author-media-prod/qni9n7pv1s2e14ilckdh94bvpp._SY600_.jpg', 'name': 'Zeb Beck', 'about': ['Zeb Beck lives in Los Angeles with his lovely wife and difficult pets. He likes and dislikes the same things you do.']}",4.6,14,"['Review', '★★★★★ ""The writing in The Melancholy Strumpet Master by Zeb Beck is a perfect example of how an author can balance dark humor with emotional depth. It is crisp and engaging, filled with sharp wit and subtle humor that keeps the reader entertained throughout.""\xa0 --The Bookish Elf★★★★★ ""Fans of dark humor will immensely enjoy this story, and those that are looking for action and intriguing plotlines will not be disappointed.""\xa0\xa0\xa0-- Literary Titan★★★★★ ""... impossible not to remain intrigued making it difficult to put the book down.""\xa0\xa0 --Reedsy Discovery\xa0★★★★★""This is a book that I know I will read many times over.""\xa0\xa0\xa0 \xa0--OnlineBookClub.org★★★★★""The conversations that Gil has with the sex workers, his colleagues, and his friends are simply hilarious.""\xa0\xa0\xa0 \xa0\xa0--Readers\' Favorite★★★★★""An insightful yet hilarious read.""\xa0\xa0\xa0\xa0--Book Nerdection★★★★★ ""Memorable, hilarious, yet poignant and well-written;The Melancholy Strumpet Master is a must-read dark comedy.""\xa0\xa0 \xa0 \xa0 \xa0 \xa0--Author Anthony Avina\'s Blog']","[{'large': 'https://m.media-amazon.com/images/I/41jfndqfi+L._SX322_BO1,204,203,200_.jpg', 'variant': 'MAIN'}]",['Literature & Fiction'],B0BW2GGCNZ
Egypt (Enchantment of the World),"{'avatar': 'https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png', 'name': 'Ann Heinrichs', 'about': ['Discover more of the author’s books, see similar authors, read author blogs and more']}",5.0,3,"['About the Author', 'Heinrichs grew up in Fort Smith, Arkansas. She has written more than 50 books for children and young adults.']","[{'large': 'https://m.media-amazon.com/images/I/51fVIKoAvEL._SX429_BO1,204,203,200_.jpg', 'variant': 'MAIN'}]","[""Children's Books""]",0531253090
"Shane, Sheba and Sky: From Abandoned to Loved, How Three Rescue Dogs Transformed One Man's Life","{'avatar': 'https://m.media-amazon.com/images/S/amzn-author-media-prod/eqotfmtajsn85tkghsca84s8ao._SY600_.jpg', 'name': 'Paul Viner', 'about': ['Paul Viner is the self published indie author of Shane, Sheba and Sky, and Show Me Mercy.', ""He's a loving, full time dog father to two beautiful rescue German Shepherd dogs."", 'Paul lives in Hertfordshire, and is married with three grown up daughters and two grandchildren.', 'Contact details:', 'Twitter: @V1964Paul', 'Facebook: https://www.facebook.com/V1964Paul', 'Instagram: paul.viner_author_doglover']}",4.9,75,[],"[{'large': 'https://m.media-amazon.com/images/I/41W+Wxi5W0L._SX322_BO1,204,203,200_.jpg', 'variant': 'MAIN'}]",['Biographies & Memoirs'],1916260101
